3,2,304,2
305,147,305,3
275,31,285,60
264,21,270,27
268,24,280,38
164,75,263,20
261,126,261,19
260,19,285,49
259,127,259,18
251,17,258,17
164,72,256,19
251,23,256,23
236,12,250,16
253,14,283,43
226,9,236,9
223,11,230,11
215,12,222,12
200,14,214,13
196,16,207,15
193,18,203,17
192,19,198,19
189,25,197,16
173,44,191,20
171,42,190,20
169,47,180,29
171,49,178,36
164,67,171,51
167,52,168,63
166,55,168,74
164,69,261,125
164,73,258,127
164,74,166,90
167,77,173,106
169,70,216,43
172,71,212,49
167,91,173,98
167,92,174,100
168,95,197,129
175,104,184,116
174,108,189,124
185,119,191,125
187,117,196,125
195,128,206,129
199,126,210,134
201,131,212,131
207,133,213,134
214,135,233,136
218,133,235,133
241,131,252,131
245,130,254,130
249,129,256,129
250,128,258,128
189,83,255,121
192,88,260,127
263,124,269,115
264,124,281,99
267,121,280,101
269,120,281,105
280,107,288,87
280,99,287,88
284,91,287,71
289,82,289,63
286,61,286,69
282,41,288,58
217,43,226,37
128,47,135,56
130,52,135,57
133,65,133,60
131,55,136,61
134,53,136,65
134,79,134,66
133,95,137,70
132,87,136,82
128,103,131,90
118,118,131,100
19,102,130,102
104,60,126,101
20,105,125,105
104,129,124,106
120,112,124,107
74,15,127,107
74,14,127,106
101,127,118,114
114,122,119,116
108,122,113,122
106,124,111,124
103,125,110,125
92,130,102,130
89,131,99,131
94,133,99,127
82,135,87,135
69,133,83,133
67,136,81,136
57,134,68,133
61,135,66,135
51,131,59,131
45,129,53,129
29,117,50,131
41,127,49,127
40,126,47,126
38,125,45,125
21,107,44,125
33,117,40,123
22,108,37,124
13,88,29,112
21,105,76,9
19,103,71,9
16,86,16,97
13,57,15,85
12,61,12,84
15,62,25,32
14,53,20,39
16,49,42,17
17,47,24,33
28,29,50,16
32,25,50,13
37,24,53,15
38,20,43,20
46,15,55,15
63,12,85,12
64,9,84,9
45,58,69,15
53,47,72,15
74,9,110,73
90,14,100,14
94,15,101,15
100,18,108,18
102,19,109,19
104,16,132,48
102,15,110,24
106,21,111,21
115,27,122,35
117,26,131,45
118,26,129,41
124,40,133,50
91,37,118,87
2,147,2,3
3,145,304,145
